,COURSE CODE,COURSE TITLE,R1 POINTS,R2 POINTS
0,AL801,Software Design with Virtual Reality and Gaming,304,328
1,AL802,Software Design with Cloud Computing,301,306
2,AL803,Software Design with Mobile Apps and Connected Devices,309,337
3,AL805,Network Management and Cloud Infrastructure,329,442
4,AL810,Quantity Surveying,307,349
5,AL820,Mechanical and Polymer Engineering,300,358
6,AL830,General Nursing,410,429
7,AL832,Psychiatric Nursing,387,403
8,AL836,Nutrition and Health Science,352,383
9,AL837,Sports Science with Exercise Physiology,351,392
10,AL838,Biotechnology,302,372
11,AL839,Microbiology,322,371
12,AL840,Pharmaceutical Sciences,328,411
13,AL841,Athletic and Rehabilitation Therapy,423,430
14,AL842,Bioveterinary Science,310,366
15,AL843,Physical Activity and Health Science,310,330
16,AL850,Business,307,356
17,AL851,Business and Law,301,341
18,AL852,Accounting (with optional placement),290,346
19,AL853,Accounting and Law,305,320
20,AL855,Hospitality Management (with International placement),312,357
21,AL857,Digital Marketing,300,360
22,AL860,Social Care Practice,309,338
23,AL861,Animation and Illustration (portfolio),#615,899
24,AL863,Graphic and Digital Design (portfolio),#703,898
25,AL864,Early Years Care and Education,307,348
26,AL870,Applied Psychology,409,445
27,CW018,"Business (options, Wexford)",327,349
28,CW028,Early Childhood Education and Care (Wexford),252,308
29,CW038,"Art (portfolio, Wexford)",#700,700
30,CW058,Tourism and Event Management (Wexford),252,262
31,CW068,Applied Social Studies - Professional Social Care (Wexford),251,280
32,CW078,Sustainable Farm Management and Agribusiness (Wexford),266,320
33,CW088,Visual Communications and Design (Wexford),309,345
34,CW108,Science (options),261,326
35,CW128,Brewing and Distilling,271,298
36,CW178,Sport Science (options),399,424
37,CW188,Sport Rehabilitation and Athletic Therapy,454,473
38,CW208,Computer Games Development,281,338
39,CW238,Software Development,300,343
40,CW248,Information Technology Management,307,357
